"data_hora","idade","genero","periodo","indice_aprendizado","aspecto","disciplinas","avaliacao","tipo","comp_cursadas","mat_cursadas","prat_cursadas"
"2021/08/10 12:26:53 PM GMT-3",22,"Masculino","2018.1",2,"estrut_clara","comp",4,"positivo",1,1,0
"2021/08/10 12:26:53 PM GMT-3",22,"Masculino","2018.1",2,"estrut_clara","prat",1,"positivo",1,1,0
"2021/08/10 12:26:53 PM GMT-3",22,"Masculino","2018.1",2,"ritmo_proprio","mat",4,"positivo",1,1,0
"2021/08/10 12:26:53 PM GMT-3",22,"Masculino","2018.1",2,"ritmo_proprio","comp",4,"positivo",1,1,0
"2021/08/10 12:26:53 PM GMT-3",22,"Masculino","2018.1",2,"ritmo_proprio","prat",1,"positivo",1,1,0
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"prob_tec","mat",1,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"prob_tec","comp",1,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"prob_tec","prat",1,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"comunic_prej","mat",2,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"comunic_prej","comp",2,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"comunic_prej","prat",2,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"prob_ger_temp","mat",4,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"prob_ger_temp","comp",4,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"prob_ger_temp","prat",4,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"falta_contato","mat",2,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"falta_contato","comp",2,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"falta_contato","prat",2,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"amb_nao_prod","mat",5,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"amb_nao_prod","comp",5,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"amb_nao_prod","prat",5,"dificuldade",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"flex_horario","mat",5,"positivo",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"flex_horario","comp",5,"positivo",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"flex_horario","prat",5,"positivo",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"estrut_clara","mat",5,"positivo",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"estrut_clara","comp",5,"positivo",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"estrut_clara","prat",5,"positivo",1,1,1
