"Carimbo de data/hora","Qual a sua idade ?","Gênero","Em que período você entrou na faculdade ?","Que classes de disciplinas você cursou ou está cursando no ensino remoto emergencial ?","Problemas(s) técnico(s) (hardware / software / rede) [Teóricas de matemática/estatística]","Problemas(s) técnico(s) (hardware / software / rede) [Teóricas de computação/gerais]","Problemas(s) técnico(s) (hardware / software / rede) [Práticas/Laboratórios]","Comunicação prejudicada com os professores a partir das vídeo-chamadas e/ou emails (ferramentas ineficientes, atrasos de áudio, desconforto ao interagir, entre outros) [Teóricas de matemática/estatística]","Comunicação prejudicada com os professores a partir das vídeo-chamadas e/ou emails (ferramentas ineficientes, atrasos de áudio, desconforto ao interagir, entre outros) [Teóricas de computação/gerais]","Comunicação prejudicada com os professores a partir das vídeo-chamadas e/ou emails (ferramentas ineficientes, atrasos de áudio, desconforto ao interagir, entre outros) [Práticas/Laboratórios]","Problema de gerenciamento do tempo (estudar, completar atividades no prazo, encontrar disponibilidade para assistir as aulas, entre outros) [Teóricas de matemática/estatística]","Problema de gerenciamento do tempo (estudar, completar atividades no prazo, encontrar disponibilidade para assistir as aulas, entre outros) [Teóricas de computação/gerais]","Problema de gerenciamento do tempo (estudar, completar atividades no prazo, encontrar disponibilidade para assistir as aulas, entre outros) [Práticas/Laboratórios]","Falta de contato face-a-face e de atenção individualizada com o professor [Teóricas de matemática/estatística]","Falta de contato face-a-face e de atenção individualizada com o professor [Teóricas de computação/gerais]","Falta de contato face-a-face e de atenção individualizada com o professor [Práticas/Laboratórios]","Ambiente de aprendizado não produtivo (distrações por parte dos familiares/amigos/redes sociais, ansiedade, stress, entre outros) [Teóricas de matemática/estatística]","Ambiente de aprendizado não produtivo (distrações por parte dos familiares/amigos/redes sociais, ansiedade, stress, entre outros) [Teóricas de computação/gerais]","Ambiente de aprendizado não produtivo (distrações por parte dos familiares/amigos/redes sociais, ansiedade, stress, entre outros) [Práticas/Laboratórios]","Flexibilidade nos horários de estudo (aulas gravadas, não cobrança de faltas, material disponível offline, entre outros) [Teóricas de matemática/estatística]","Flexibilidade nos horários de estudo (aulas gravadas, não cobrança de faltas, material disponível offline, entre outros) [Teóricas de computação/gerais]","Flexibilidade nos horários de estudo (aulas gravadas, não cobrança de faltas, material disponível offline, entre outros) [Práticas/Laboratórios]","Estrutura mais claras das disciplinas (cronogramas melhor planejados de início, entre outros) [Teóricas de matemática/estatística]","Estrutura mais claras das disciplinas (cronogramas melhor planejados de início, entre outros) [Teóricas de computação/gerais]","Estrutura mais claras das disciplinas (cronogramas melhor planejados de início, entre outros) [Práticas/Laboratórios]","Aprendizado no seu ritmo [Teóricas de matemática/estatística]","Aprendizado no seu ritmo [Teóricas de computação/gerais]","Aprendizado no seu ritmo [Práticas/Laboratórios]","Quais dificuldades (não citadas anteriormente) te impactaram negativamente ?","Quais pontos (não citados anteriormente) te impactaram positivamente ?","O quanto você acha que seu aprendizado foi afetado no ensino remoto emergencial ?"
"2021/08/11 1:05:06 AM GMT-3","23","Masculino","2016.2","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais","1","1","1","2","1","1","1","2","1","1","2","1","2","2","1","5","5","1","5","5","1","5","5","1","","","8"
"2021/08/11 1:24:51 AM GMT-3","19","Masculino","2020.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","3","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","2","2","5","5","5","","","7"
"2021/08/11 6:18:14 AM GMT-3","25","Feminino","2017.1","Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","2","2","2","2","4","4","3","4","4","3","4","4","4","5","4","2","4","5","3","3","3","","","3"
"2021/08/11 8:08:16 AM GMT-3","24","Masculino","2017.2","Teóricas de computação/gerais","1","1","1","1","4","1","1","4","1","1","3","1","1","5","1","1","5","1","1","5","1","1","5","1","","","3"
"2021/08/11 8:14:29 AM GMT-3","22","Feminino","2017.2","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais","1","1","2","1","1","1","2","2","2","2","2","1","1","1","1","2","2","2","2","2","2","2","2","2","","","8"
"2021/08/11 8:24:53 AM GMT-3","19","Masculino","2020.2","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","2","3","5","3","2","1","3","3","3","4","1","1","4","4","4","4","4","4","2","2","2","3","3","3","","","1"
"2021/08/11 8:35:49 AM GMT-3","20","Masculino","2020.2","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","3","3","3","2","2","2","5","5","5","4","4","4","5","5","5","2","2","2","2","2","2","","","6"
"2021/08/11 8:47:09 AM GMT-3","20","Masculino","2020.2","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","5","5","5","5","5","5","5","5","5","","","9"
"2021/08/11 8:53:01 AM GMT-3","22","Masculino","2018.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","4","3","2","3","3","3","3","2","2","4","3","3","4","3","3","4","5","5","3","5","5","4","4","4","","","7"
"2021/08/11 9:22:36 AM GMT-3","28","Masculino","2016.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","5","5","5","5","5","5","5","5","5","","","10"
"2021/08/11 9:25:49 AM GMT-3","24","Feminino","2015.2 ou antes","Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","1","3","4","1","4","2","1","4","4","1","2","2","1","3","5","1","3","3","1","4","3","Acredito que alguns professores exageram na quantidade de atividades pedidas, provavelmente por acreditar que por ser remoto, o aluno tem mais tempo.","","4"
"2021/08/11 10:06:36 AM GMT-3","22","Masculino","2017.2","Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","2","1","1","1","1","1","1","1","1","2","2","2","5","5","5","5","5","5","4","4","4","","","6"
"2021/08/11 10:15:53 AM GMT-3","34","Masculino","2020.2","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","2","2","1","3","2","1","3","2","2","3","2","1","2","2","2","3","3","4","4","5","5","4","5","5","","","7"
"2021/08/11 10:25:48 AM GMT-3","21","Feminino","2019.2","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","5","3","5","4","1","1","1","1","1","4","4","4","5","5","5","5","5","5","5","5","5","A quantidade de atividade semanalmente ","","10"
"2021/08/11 10:45:13 AM GMT-3","24","Masculino","2017.2","Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","1","1","1","1","1","1","3","4","4","3","4","4","1","1","1","3","4","4","3","5","5","","","8"
"2021/08/11 12:16:55 PM GMT-3","19","Masculino","2020.1","Teóricas da base matemática/estatística do curso","2","1","1","2","2","2","2","2","2","1","1","1","4","4","4","5","5","5","5","5","5","5","5","5","","","10"
"2021/08/11 12:45:58 PM GMT-3","21","Masculino","2019.2","Teóricas da base matemática/estatística do curso;Práticas/Laboratórios","1","1","1","3","3","3","4","4","4","5","5","5","1","1","1","3","3","3","2","2","2","4","4","4","","","3"
"2021/08/11 1:09:33 PM GMT-3","21","Masculino","2018.2","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","3","1","1","1","2","2","1","1","1","3","3","3","4","4","4","5","5","5","4","4","4","2","2","2","","","5"
"2021/08/11 3:38:29 PM GMT-3","31","Masculino","2020.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","2","3","4","2","4","5","2","2","2","2","2","4","4","3","4","3","3","3","3","3","3","3","3","1","","","4"
"2021/08/12 9:57:35 AM GMT-3","19","Masculino","2020.2","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","3","3","3","2","2","2","4","4","4","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","","","5"
"2021/08/12 9:59:14 AM GMT-3","22","Masculino","2017.2","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","4","4","4","2","2","2","4","4","3","2","2","2","3","3","3","4","4","4","3","3","3","4","4","4","","","5"
"2021/08/12 11:59:03 AM GMT-3","19","Masculino","2019.2","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","2","1","1","1","3","2","4","4","2","5","5","5","4","4","5","3","3","3","1","3","3","","","5"
"2021/08/12 3:57:19 PM GMT-3","20","Feminino","2019.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","3","5","5","2","4","3","5","5","5","3","3","1","5","5","5","4","4","4","5","5","5","4","3","5","","","4"
"2021/08/12 3:59:00 PM GMT-3","20","Masculino","2019.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","2","3","4","4","4","5","4","4","5","5","5","5","5","5","5","4","4","2","4","3","4","2","2","2","","","3"
"2021/08/12 8:00:04 PM GMT-3","20","Masculino","2018.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais","1","3","1","1","1","1","4","3","1","1","1","1","5","5","1","5","5","1","5","4","1","5","5","1","","","6"
"2021/08/12 9:05:48 PM GMT-3","19","Masculino","2020.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","1","1","2","3","2","2","4","3","3","4","3","3","4","3","3","2","2","2","5","5","5","2","3","5","","","6"
"2021/08/13 9:04:58 AM GMT-3","20","Masculino","2019.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","1","1","1","3","2","3","1","1","1","1","1","1","5","5","5","5","5","4","5","5","5","","","8"
"2021/08/13 9:46:05 AM GMT-3","28","Masculino","2015.2 ou antes","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","2","2","4","1","1","1","2","2","4","2","2","2","5","5","5","4","4","3","5","5","5","","","3"
"2021/08/13 9:49:50 AM GMT-3","23","Feminino","2017.1","Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","2","2","2","2","2","2","3","3","3","2","2","2","5","5","5","2","2","2","4","4","4","","","6"
